Cabeceras Generacion, Fecha: 11-11-15-25-11-305Generacion: 0, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -210.000, Min: -240.000, Suma: -23140.000}
Generacion: 1, Poblacion: 100, Evaluacion:{ Mejor:     0, Max: -210.000, Min: -240.000, Suma: -23190.000}
Generacion: 2, Poblacion: 100, Evaluacion:{ Mejor:    50, Max: -210.000, Min: -240.000, Suma: -23200.000}
Generacion: 3, Poblacion: 100, Evaluacion:{ Mejor:     3, Max: -210.000, Min: -240.000, Suma: -23220.000}
Generacion: 4, Poblacion: 100, Evaluacion:{ Mejor:     7, Max: -210.000, Min: -240.000, Suma: -23130.000}
Generacion: 5, Poblacion: 100, Evaluacion:{ Mejor:    36, Max: -210.000, Min: -240.000, Suma: -23140.000}
Generacion: 6, Poblacion: 100, Evaluacion:{ Mejor:    15, Max: -210.000, Min: -240.000, Suma: -23160.000}
Generacion: 7, Poblacion: 100, Evaluacion:{ Mejor:    66, Max: -200.000, Min: -240.000, Suma: -23100.000}
Generacion: 8, Poblacion: 100, Evaluacion:{ Mejor:    71, Max: -200.000, Min: -240.000, Suma: -23010.000}
Generacion: 9, Poblacion: 100, Evaluacion:{ Mejor:     6, Max: -210.000, Min: -240.000, Suma: -23020.000}
Generacion: 10, Poblacion: 100, Evaluacion:{ Mejor:    63, Max: -200.000, Min: -240.000, Suma: -22970.000}
Generacion: 11, Poblacion: 100, Evaluacion:{ Mejor:    89, Max: -200.000, Min: -240.000, Suma: -23000.000}
Generacion: 12, Poblacion: 100, Evaluacion:{ Mejor:    28, Max: -200.000, Min: -240.000, Suma: -22970.000}
Generacion: 13, Poblacion: 100, Evaluacion:{ Mejor:    41, Max: -200.000, Min: -240.000, Suma: -22830.000}
Generacion: 14, Poblacion: 100, Evaluacion:{ Mejor:    94, Max: -200.000, Min: -240.000, Suma: -22710.000}
Generacion: 15, Poblacion: 100, Evaluacion:{ Mejor:     3, Max: -210.000, Min: -240.000, Suma: -22770.000}
Generacion: 16, Poblacion: 100, Evaluacion:{ Mejor:    31, Max: -200.000, Min: -240.000, Suma: -22870.000}
Generacion: 17, Poblacion: 100, Evaluacion:{ Mejor:     9, Max: -210.000, Min: -240.000, Suma: -22940.000}
Generacion: 18, Poblacion: 100, Evaluacion:{ Mejor:    57, Max: -200.000, Min: -240.000, Suma: -22910.000}
Generacion: 19, Poblacion: 100, Evaluacion:{ Mejor:    21, Max: -200.000, Min: -240.000, Suma: -22940.000}
Generacion: 20, Poblacion: 100, Evaluacion:{ Mejor:     7, Max: -210.000, Min: -240.000, Suma: -22890.000}
Generacion: 21, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -200.000, Min: -240.000, Suma: -23030.000}
Generacion: 22, Poblacion: 100, Evaluacion:{ Mejor:    19, Max: -200.000, Min: -240.000, Suma: -23060.000}
Generacion: 23, Poblacion: 100, Evaluacion:{ Mejor:    44, Max: -190.000, Min: -240.000, Suma: -23140.000}
Generacion: 24, Poblacion: 100, Evaluacion:{ Mejor:    24, Max: -200.000, Min: -240.000, Suma: -23000.000}
Generacion: 25, Poblacion: 100, Evaluacion:{ Mejor:    57, Max: -190.000, Min: -240.000, Suma: -22990.000}
Generacion: 26, Poblacion: 100, Evaluacion:{ Mejor:    28, Max: -200.000, Min: -240.000, Suma: -22990.000}
Generacion: 27, Poblacion: 100, Evaluacion:{ Mejor:    35, Max: -200.000, Min: -240.000, Suma: -23140.000}
Generacion: 28, Poblacion: 100, Evaluacion:{ Mejor:     8, Max: -210.000, Min: -240.000, Suma: -23160.000}
Generacion: 29, Poblacion: 100, Evaluacion:{ Mejor:    56, Max: -200.000, Min: -240.000, Suma: -23020.000}
Generacion: 30, Poblacion: 100, Evaluacion:{ Mejor:     6, Max: -210.000, Min: -240.000, Suma: -23090.000}
Generacion: 31, Poblacion: 100, Evaluacion:{ Mejor:    41, Max: -210.000, Min: -240.000, Suma: -23100.000}
Generacion: 32, Poblacion: 100, Evaluacion:{ Mejor:    16, Max: -210.000, Min: -240.000, Suma: -23000.000}
Generacion: 33, Poblacion: 100, Evaluacion:{ Mejor:     0, Max: -210.000, Min: -240.000, Suma: -22890.000}
Generacion: 34, Poblacion: 100, Evaluacion:{ Mejor:    11, Max: -200.000, Min: -240.000, Suma: -22890.000}
Generacion: 35, Poblacion: 100, Evaluacion:{ Mejor:    45, Max: -190.000, Min: -240.000, Suma: -22770.000}
Generacion: 36, Poblacion: 100, Evaluacion:{ Mejor:    19, Max: -200.000, Min: -240.000, Suma: -22760.000}
Generacion: 37, Poblacion: 100, Evaluacion:{ Mejor:    75, Max: -200.000, Min: -240.000, Suma: -22740.000}
Generacion: 38, Poblacion: 100, Evaluacion:{ Mejor:     4, Max: -200.000, Min: -240.000, Suma: -22780.000}
Generacion: 39, Poblacion: 100, Evaluacion:{ Mejor:    18, Max: -200.000, Min: -240.000, Suma: -22930.000}
Generacion: 40, Poblacion: 100, Evaluacion:{ Mejor:     9, Max: -200.000, Min: -240.000, Suma: -22970.000}
